"(2,2,6,6-Tetramethylpiperidin-1-yl)oxyl [TEMPO]",Common_Reagents
(Diacetoxyiodo)benzene [PIDA],
(E)-But-2-enenitrile,
(Methoxycarbonylsulfamoyl)triethylammonium hydroxide,
"[1,1'-Bis(diphenylphosphino)ferrocene]palladium(II) Dichloride [Pd(dppf)Cl2]",
[Bis(trifluoroacetoxy)iodo]benzene [PIFA],
"1,1'-(Azodicarbonyl)dipiperidine [ADDP]",
"1,1,1-Trifluoroacetone",
"1,1'-Bis(diphenylphosphino)ferrocene [Dppf]",
"1,2-Bis(diphenylphosphino)ethane [Dppe]",
"1,2-dichloroethane",
"1,2-Dichloroethane (DCE)",
"1,2-Dimethoxyethane (DME)",
"1,2-dimethoxy-ethane (glyme, DME)",
"1,2-oxathiolane",
"1,3,5-Trioxane",
"1,3-Bis(diphenylphosphino)propane [Dppp]",
"1,3-diazetidine",
"1,3-Dibromo-5,5-dimethylhydantoin",
"1,3-Diiodo-5,5-dimethylhydantoin",
"1,3-Dimethylimidazol-2-ylidene borane",
"1,4-Benzoquinone",
"1,4-Bis(diphenylphosphino)butane [Dppb]",
"1,4-Cyclohexadiene",
"1,4-diazabicyclo[2.2.2]octane [DABCO]",
"1,4-dioxane",
"1,4-thiazepine",
"1,8-Diazabicyclo[5.4.0]undec-7-ene [DBU]",
18-Crown-6,
1-butanol,
1-Ethyl-3-(3-dimethylaminopropyl)carbodiimide hydrochloride [EDC],
1-propanol,
2-(Di-tert-butylphosphino)biphenyl [JohnPhos],
2-(Phenylsulfonyl)-3-phenyloxaziridine,
2-(Trimethylsilyl)ethoxymethyl Chloride [SEM-Cl],
"2,2,6,6-Tetramethylpiperidine (TMP)",
"2,2,6,6-Tetramethylpiperidinyloxy",
"2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl [rac-BINAP]",
"2,3-Dichloro-5,6-dicyano-1,4-benzoquinone (DDQ)",
"2,3-Dichloro-5,6-dicyanobenzoquinone",
"2,3-dihydroazete",
"2,6-Lutidine",
2-Azaadamantane N-oxyl,
2-butanol,
2-butanone,
"2-Dicyclohexylphosphino-2'-(N,N-dimethylamino)biphenyl [DavePhos]",
"2-Dicyclohexylphosphino-2',4',6'-triisopropylbiphenyl (XPhos)",
"2-Dicyclohexylphosphino-2',6'-dimethoxybiphenyl (SPhos)",
"2H, 6H-1,5,2-dithiazine",
2H-chromene,
"2-Hydroperoxy-4,6-diphenyl-1,3,5-triazine",
2-Iodoxybenzoic Acid (IBX),
2-Iodoxybenzoicacid,
2-Methylpyridine Borane,
2-Methyltetrahydrofuran (2-MeTHF),
2-Nitrobenzenesulfonylhydrazide,
2-propanol,
2-Propanone,
"3,3',5,5'-Tetra-tert-butyldiphenoquinone",
"3,4,5,6-tetrahydro-2H-azepine",
3-Chloroperoxybenzoic acid,
3-Mercaptopropionic acid,
3-MPA,
"4,5-Bis(diphenylphosphino)-9,9-dimethylxanthene [XantPhos]",
4-Dimethylaminopyridine (DMAP),
4-Dimethylaminopyridine borane,
4-Methoxybenzyl Chloride,
"6H-a,2,5-thiadiazine",
9-Azabicyclo[3.3.1]nonane N-oxyl,
9-Azanoradamantane N-oxyl,
9-BBN,
9-Borabicyclo[3.3.1]nonane,
9-Borabicyclo[3.3.1]nonane [9-BBN],
9-Borabicyclo[3.3.1]nonane Dimer,
ABNO,
acetamide,
Acetic Acid,
Acetic Anhydride,
Acetone,
acetone hydrazone,
Acetonitrile,
acetoxime,
Acetyl Chloride,
Acetylene,
Acrylonitrile,
ADH,
Alcohol dehydrogenase,
allophanic acid,
Allyl diethyl phosphate,
Aluminum Chloride,
Aluminum Isopropoxide,
Ammonia,
Ammonia borane,
Ammonium Acetate,
Ammonium cerium (IV) nitrate,
Ammonium Chloride,
Ammonium Formate,
Ammonium Hydroxide,
Ammonium peroxydisulfate,
aniline,
Ascorbic Acid,
AZADO,
azecine,
azetidine,
aziridine,
Azobisisobutyronitrile,
Azobisisobutyronitrile (AIBN),
azocane,
azocine,
azonane,
Baeyer's reagent,
banzalimine,
Barium Hydroxide,
BBA,
Benzaldehyde,
benzamide,
Benzene,
benzenediazonium,
benzonitrile,
benzonitrile oxide,
Benzophenone,
Benzophenone Imine,
Benzoyl Peroxide,
Benzyl Alcohol,
Benzyl Bromide,
Benzyl Chloride,
Benzyl Chloroformate,
Benzyl N-Succinimidyl Carbonate (Cbz-OSu),
benzylamine,
biotin,
Bis(2-methoxyethyl)aminosulfur trifluoride [Deoxo-Fluor],
bis(dibenzylideneacetone)palladium(0)    ,
Bis(di-tert-butyl(4-dimethylaminophenyl)phosphine)dichloropalladium(II) [Pd(amphos)Cl2],
Bis(methanesulfonyl) peroxide,
Bis(neopentyl glycolato)diboron,
Bis(neopentylglycolato)diboron,
Bis(pinacolato)diboron,
Bis(triphenylphosphine)palladium(II) Diacetate [Pd(PPh3)2(OAc)2],
Bis(triphenylphosphine)palladium(II) Dichloride [Pd(PPh3)2Cl2],
Bis(tri-tert-butylphosphine)palladium(0) [Pd(t-Bu3P)2],
Bis-boric acid,
biuret,
Bleach,
Boc Anhydride,
BOP,
Borane ammonia complex,
Borane Dimethylsulfide,
Borane Tetrahydrofuran,
Borane trimethylamine complex,
Boranes,
Boron Tribromide,
Boron Trichloride,
Boron Trifluoride Diethyl Etherate (BF3-OEt2),
Boron Trifluoride Etherate ,
Bromine,
Burgess reagent,
Butanone (methyl ethyl ketone),
Butylated hydroxytoluene,
Calcium hypophosphite,
CAN,
carbamic acid,
carbazole,
Carbon Dioxide,
Carbon disulfide,
Carbon Monoxide,
Carbon Tetrabromide,
Carbon Tetrachloride,
Carbonyldiimidazole,
Carbonyldiimidazole (CDI),
Carrots,
Catecholborane,
Ceric ammonium nitrate,
Ceric Ammonium Nitrate (CAN),
Cerium ammonium nitrate,
Cesium Carbonate,
Cesium Fluoride,
CHD,
Chloramine-B,
Chloramine-T,
Chloranil,
Chloridotris(triphenylphosphine) rhodium (I),
chlorobenzene,
Chloroform,
"Chloromethyl-4-fluoro-1,4-diazoniabicyclo[2.2.2]octane bis(tetrafluoroborate)",
Choline peroxydisulfate,
ChPS,
Chromic acid,
Chromium (low valent),
Chromium compounds,
Chromium Trioxide,
Citric Acid,
CMHP,
Collins Reagent,
Copper (low valent),
Copper compounds,
Copper hydride,
Copper(I) Bromide,
Copper(I) Chloride,
Copper(I) Cyanide,
Copper(I) Iodide,
Copper(II) Bromide,
Copper(II) Chloride,
Corey-Suggs Reagent,
Crotononitrile,
Cumene hydroperoxide,
Cyanuric Chloride,
Cyclohexane,
"cyclohexanone N,N-dimethylhydrazone",
Cyclopentyl Methyl Ether (CPME),
Daucus Carota,
Davis Reagent,
DBDMH,
DCP,
DDQ,
DEAD,
DEAP,
Decaborane,
DEMS,
Dess-Martin periodinane,
Dess–Martin periodinane,
Dess-Martin Periodinane (DMP),
DIAD,
Diazomethane,
DIBAL-H,
dibenzofuran,
Diborane,
Dichloromethane (DCM),
Dicumyl peroxide,
Dicyclohexylamine,
Dicyclohexylcarbodiimide,
dideuterium oxide,
Diethoxymethylsilane,
"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
Diethyl allyl phosphate,
Diethyl azodicarboxylate,
Diethyl Azodicarboxylate (DEAD),
Diethyl Ether,
Diethyl Malonate,
Diethylamine,
Diethylaminosulfur Trifluoride (DAST),
diethylene glycol,
Diethylsilane,
Diethylzinc,
diglyme (diethylene glycol,
DIH,
Dihydropyran,
Dihydropyran (DHP),
Diiodomethane,
Diisobutylaluminium hydride,
Diisobutylaluminum Hydride (DIBAL-H),
Diisopropyl azodicarboxylate,
Diisopropyl Azodicarboxylate (DIAD),
Diisopropylaminoborane,
diisopropylethylamine,
Dimethoxymethylsilane,
Dimethyl ether,
dimethyl ether),
Dimethyl Sulfate,
Dimethyl sulfoxide,
Dimethyl Sulfoxide (DMSO),
Dimethylacetamide (DMA),
Dimethylformamide,
Dimethylformamide (DMF),
dimethyl-formamide (DMF),
Dimethylsulfide,
Dimethylsulfide borane,
Dioxane,
Diphenylphosphoryl Azide (DPPA),
Diphenylsilane,
Diphosgene,
Di-tert-butyl Azodicarboxylate (DtBAD),
Di-tert-butyl peroxide,
dithienothiophene,
DMAP-BH3,
DMMS,
DMP,
DMSB,
DMSO,
DPQ,
DTBP,
Ethanol,
Ethyl Acetate,
Ethyl Chloroformate,
Ethyl Iodide,
Ethyl Trifluoroacetate,
ethylamine,
Ethylene Glycol,
Ethylene Oxide,
ethylenimine,
Fe,
Fehling's reagent,
Fenton's reagent,
Ferric chloride,
Ferric nitrate,
folic acid,
Formaldehyde,
Formic Acid,
furane,
glycerin,
Grignard reagents,
guanidine,
Hantzsch Ester,
HATU,
HBTU,
Heptane,
Hexamethylphosphoramide (HMPA),
hexamethylphosphorous triamide (HMPT),
Hexane,
HTIB,
hydantoin,
Hydrazide,
Hydrazine,
Hydrazoic acid,
Hydrobromic Acid,
Hydrochloric Acid,
Hydrofluoric acid,
Hydrogen,
Hydrogen Peroxide,
Hydrogen peroxide urea adduct,
Hydroxy(tosyloxy)iodobenzene,
Hydroxybenzotriazole (HOBt),
hydroxylamine,
Hypervalent bromine compounds,
Hypervalent iodine compounds,
Hypophosphorous acid,
IBX,
Imidazole,
Indium (low valent),
indole,
indolizine,
Iodine,
Iodine pentoxide,
Iodobenzene dichloride,
Iodosobenzene bis(trifluoroacetate),
Iodosobenzene diacetate,
Iodosylbenzene,
Iron,
Iron(III) Acetylacetone,
Iron(III) Chloride,
"Iron(III), (V) and (IV)",
isoamyl nitrile,
Isoamyl Nitrite,
Isobutyl Chloroformate,
isoindole,
Isopropanol,
Isopropanol (IPA),
Isopropenyl Chloroformate,
Isopropoxyboronic Acid Pinacol Ester,
Isopropyl Acetate,
Isopropyl alcohol,
Isopropylmagnesium Chloride,
isoquinoline,
isoxazole,
Jones Reagent,
Koser's Reagent,
LAH,
Lawesson's Reagent,
Lead(IV) Acetate,
Lime,
Limestone,
LiTEBH,
Lithium,
Lithium aluminium hydride,
Lithium aluminum hydride,
Lithium Aluminum Hydride (LAH),
Lithium Bis(trimethylsilyl)amide (LiHMDS),
Lithium Borohydride,
Lithium Bromide,
Lithium Chloride,
Lithium diisopropylamide,
Lithium Diisopropylamide (LDA),
Lithium Hydroxide,
Lithium Iodide,
Lithium tetrahydridoaluminate,
Lithium Tetramethylpiperidide (LTMP),
Lithium triethylborohydride,
Lithium tri-tert-butoxyaluminum hydride,
LTBA,
Magnesium,
Magnesium monoperoxyphthalate hexahydrate,
Magnesium Sulfate,
Manganese,
Manganese compounds,
Manganese Dioxide,
Manganese(IV) oxide,
m-Chloroperoxybenzoic Acid (mCPBA),
MCPBA,
Mesitylene,
meta-Chloroperbenzoic acid,
Meta-Chloroperoxybenzoic acid,
methanesulfonamide,
Methanesulfonic Anhydride,
Methanesulfonyl Chloride,
Methanol,
Methyl Iodide,
"methyl N,N-diethylcarbamate",
methyl nitrate,
Methyl tert-butyl ether,
methyl t-butyl ether (MTBE),
Methyl tert-Butyl Ether (MTBE),
methylene chloride,
Methylmagnesium Bromide,
Methylmagnesium Chloride,
Methyltrioxorhenium,
Millon's reagent,
MMPP • 6 H2O,
Molybdenum compounds,
Morpholine,
MTO,
m-xylene,
"N,N,N',N'-Tetrachlorobenzene-1,3-disulfonamide",
"N,N'-Dicyclohexylcarbodiimide (DCC)",
"N,N-Diisopropylethylamine (DIEA)",
"N,N-dimethylcarbamoyl chloride",
"N,N-dimethylformamide DMF",
N-Bromosaccharin,
N-Bromosuccinimide,
N-Bromosuccinimide (NBS),
NBSH,
n-Butanol,
n-Butyllithium,
n-Butyllithium ,
N-Chloro tosylamide sodium salt,
N-Chlorobenzenesulfonamide sodium salt,
N-Chlorosuccinimide,
N-Chlorosuccinimide (NCS),
Neodymium (low valent),
"N-Fluoro-2,4,6-trimethylpyridinium triflate",
N-Fluorobenzenesulfonimide,
N-Fluoropyridinium triflate,
niacin,
Nickel,
Nickel borohydride,
Niobium (low valent),
N-Iodosuccinimide,
N-Iodosuccinimide (NIS),
Nitric Acid,
nitrobenzene,
Nitromethane,
nitrosobenzene,
nitrous acid,
N-methyl-2-pyrrolidinone (NMP),
N-Methyl-2-pyrrolidone (NMP),
N-Methylmorpholine,
N-Methylmorpholine oxide,
N-Methylmorpholine N-oxide (NMO),
N-Methylmorpholine-N-oxide,
N-methylpyrrolidone,
N-methylthiourea,
N-methylurea,
NMO,
N-nitrosourea,
Nor-AZADO,
N-phenylethanimine,
N-tert-Butylbenzenesulfinimidoyl chloride,
Osmium Tetroxide,
Oxalyl Chloride,
oxazole,
oxepane,
Oxone,
Oxygen,
o-xylene,
ozazole,
Ozone,
Palladium on Barium Sulfate (Pd/BaSO4),
Palladium on Calcium Carbonate (Pd/CaCO3),
Palladium on Carbon (Pd/C),
Palladium(II) Acetate,
PCC,
PDC,
Pentafluorophenol,
Pentane,
Peracetic acid,
Perchloric acid,
Periodic Acid,
Peroxides,
Peroxy acids,
Petroleum Ether,
petroleum ether (ligroine),
Phenyl Triflimide,
phenylhydrazine,
Phenyliodonium diacetate,
Phenylsilane,
Phenyltrimethylammonium Perbromide (PTAB),
Phosgene,
Phosphoric Acid,
Phosphorous acid,
Phosphorus Oxychloride,
Phosphorus pentachloride,
Phosphorus Pentasulfide,
Phosphorus Pentoxide,
Phosphorus Tribromide,
Phosphorus trichloride,
Phosphoryl chloride,
Phthaloyl peroxide,
PICB,
PIFA,
Pinacolborane,
Piperidine,
Pivaldehyde,
Platinum on Carbon (Pt/C),
Platinum(IV) Oxide,
PMHS,
Polymethylhydrosiloxane,
Potassium,
Potassium Acetate,
Potassium Bis(trimethylsilyl)amide [KHMDS],
Potassium Bisulfate,
Potassium borohydride,
Potassium Carbonate,
Potassium Cyanide,
Potassium dichromate,
Potassium Ferricyanide,
Potassium Ferrocyanide,
Potassium Fluoride,
Potassium Hydride,
Potassium Hydroxide,
Potassium Iodide,
Potassium Permanganate,
Potassium peroxomonosulfate,
Potassium peroxydisulfate,
Potassium Phosphate Dibasic,
Potassium Phosphate Monobasic,
Potassium Phosphate Tribasic,
Potassium Sodium Tartrate (Rochelle's Salt),
Potassium tetrahydroborate,
Potassium t-Butoxide,
PPO,
Propylphosphonic Anhydride (T3P),
p-Toluenesulfonic Acid (p-TsOH),
p-Toluenesulfonyl Chloride (p-TsCl),
p-Toluenesulfonylmethyl Isocyanide (TosMIC),
purine,
p-xylene,
PyBOP,
pyran,
pyrazine,
pyrazole,
pyridazine,
Pyridine,
Pyridine N-oxide,
Pyridinium chlorochromate,
Pyridinium Chlorochromate (PCC),
Pyridinium dichromate,
Pyridinium Dichromate (PDC),
Pyridinium dichromate (Cornforth reagent),
Pyridinium hydrobromide perbromide,
Pyridinium Tribromide,
Pyridinium p-Toluenesulfonate (PPTS),
pyridoxine,
pyrimidine,
pyrrole,
Pyrrolidine,
quinoline,
Raney Nickel,
Red-Al,
ribflavin,
Rongalite,
Ruthenium (III - VII) compounds,
Sakaguchi's Reagent,
Samarium (low valent),
Samarium(II) iodide (Kagan Reagent),
Sarett Reagent,
s-Butyllithium,
Schwartz's Reagent,
Selectfluor,
Selenium,
Selenium dioxide,
Silanes,
silole,
Silver nitrate,
Silver oxide,
Sodium,
Sodium Acetate,
Sodium amide,
Sodium Azide,
Sodium Bicarbonate,
Sodium bis(2-methoxyethoxy)aluminumhydride,
Sodium bis(trimethylsilyl)amide,
Sodium Bis(trimethylsilyl)amide [NaHMDS],
Sodium Bisulfate,
Sodium Bisulfite,
Sodium Borohydride,
Sodium bromate,
Sodium Carbonate,
Sodium chlorate,
Sodium Chloride,
Sodium Chlorite,
Sodium Cyanide,
Sodium Cyanoborohydride,
Sodium dichloroiodate,
Sodium Dithionite,
Sodium Hydride,
Sodium hydrogensulfite,
Sodium hydrosulfite,
Sodium Hydroxide,
Sodium hydroxymethanesulfinate,
Sodium hypochlorite,
Sodium Hypochlorite (Bleach),
Sodium hypophosphite,
Sodium Iodide,
Sodium Methoxide,
Sodium Nitrate,
Sodium Nitrite,
Sodium Perborate,
Sodium percarbonate,
Sodium Periodate,
Sodium peroxydisulfate,
Sodium Phosphate Dibasic,
Sodium Phosphate Monobasic,
Sodium Phosphate Tribasic,
Sodium Sulfate,
Sodium Sulfide,
Sodium Sulfite,
Sodium tetrahydroborate,
Sodium Thiomethoxide,
Sodium Thiosulfate,
Sodium triacetoxyborohydride,
Sodium Triacetoxyborohydride (STAB),
Sodium Tungstate,
Sodium t-Butoxide,
Strontium,
Styrene,
succinimide,
Sulfur,
Sulfuric Acid,
Superhydride,
TBCA,
TBHP,
TBN,
TBPB,
t-Butanol,
t-butyl alcohol,
t-Butyllithium,
TCBDA,
TCCA,
TDAE,
TEMPO,
tert-Amyl Alcohol,
tert-Butyl Carbamate,
tert-Butyl hydroperoxide,
tert-Butyl hypochlorite,
tert-Butyl Nitrite,
tert-Butyl peroxybenzoate,
tert-Butyldimethylsilyl Chloride (TBS-Cl),
tert-Butyldimethylsilyl Trifluoromethanesulfonate (TBS-OTf),
terthieny,
Tetrabromomethane,
Tetrabutylammonium Iodide (TBAI),
Tetrabutylammonium peroxydisulfate,
"Tetrachloro-1,4-benzoquinone",
tetracyanoquinodimethane,
Tetrahydrofuran,
Tetrahydrofuran (THF),
Tetrahydroxydiboron,
Tetrakis(dimethylamino)ethylene,
Tetrakis(triphenylphosphine)palladium(0),
Tetrakis(triphenylphosphine)palladium(0) [Pd(PPh3)4],
Tetramethylammonium Fluoride (TMAF),
Tetramethylammonium hydroxide,
Tetramethyldisiloxane,
Tetramethylethylenediamine (TMEDA),
Tetramethylsilane,
Tetra-n-butylammonium Fluoride (TBAF),
Tetrapropylammonium Perruthenate,
Tetrapropylammonium Perruthenate (TPAP),
tetrathiofulvalene,
thiamine,
thiazole,
thiepine,
thiocane,
thionin,
Thionyl Bromide,
Thionyl Chloride,
thiophene,
Thiophenol,
Tin hydrides,
Tin(II) Chloride Dihydrate,
Tin(IV) Chloride,
Titanium (low valent),
Titanium Isopropoxide,
Titanium tetrachloride,
Titanium(IV) Chloride,
TMDSO,
Tollens' reagent,
Toluene,
TPAP,
Tri(o-tolyl)phosphine,
Triacetoxyperiodinane,
Triazox,
Tribromoisocyanuric acid,
Tributylphosphine,
Tributylstannane,
Tributyltin Chloride,
Tributyltin Hydride,
Trichloroisocyanuric acid,
Trichlorosilane,
Tricyclohexylphosphine,
Triethoxysilane,
triethyl amine,
Triethyl Orthoformate,
Triethylamine (TEA),
Triethylphosphine,
Triethylsilane,
Triflic Acid,
Triflic Anhydride,
Trifluoroacetic Acid (TFA),
Trifluoroacetic Anhydride (TFAA),
Trifluoroacetic peracid,
Triisopropyl Borate,
Trimethylacetaldehyde,
Trimethylamine borane,
trimethylene oxide,
trimethylene sulfide,
Trimethylphoshpine,
Trimethylphosphite,
Trimethylsilyl Cyanide,
Trimethylsilyl Iodide,
Trimethylsilyldiazomethane,
Trioctylphosphine,
Triphenylphosphine,
Triphenylphosphine Dibromide,
Triphenylphosphine Oxide,
Triphenylphosphite,
Triphenylsilane,
Triphosgene,
Tris(dibenzylideneacetone)dipalladium(0) [Pd2(dba)3],
Tris(trimethylsilyl)silane,
Trityl Chloride,
TTMSS,
UHP,
urazole,
Urea Hydrogen Peroxide (UHP),
Urea hydrogen peroxide adduct,
Vanadium compounds,
Vasicine,
Vinyl cyanide,
Vitamin C,
water,
xanthene,
Xylenes,
Zinc,
Zinc Bromide,
Zinc Chloride,
Zirconocene chloride hydride,
?-Picoline-borane,
